PERMNO,date,TICKER,RET
90776,20200831,WAL,-0.011127
90776,20200930,WAL,-0.104249
90776,20201030,WAL,0.302973
90776,20201130,WAL,0.250485
90776,20201231,WAL,0.169300
90790,20200131,MPW,0.049266
90790,20200228,MPW,-0.046050
90790,20200331,MPW,-0.168954
90790,20200430,MPW,-0.008676
90790,20200529,MPW,0.054843
90790,20200630,MPW,0.054757
90790,20200731,MPW,0.070745
90790,20200831,MPW,-0.076999
90790,20200930,MPW,-0.036599
90790,20201030,MPW,0.010777
90790,20201130,MPW,0.088664
90790,20201231,MPW,0.137113
90803,20200131,CNSL,0.244845
90803,20200228,CNSL,0.287785
90803,20200331,CNSL,-0.268489
90803,20200430,CNSL,0.378022
90803,20200529,CNSL,-0.033493
90803,20200630,CNSL,0.117162
90803,20200731,CNSL,0.078287
90803,20200831,CNSL,0.065753
90803,20200930,CNSL,-0.268638
90803,20201030,CNSL,-0.179262
90803,20201130,CNSL,0.199143
90803,20201231,CNSL,-0.126786
90805,20200131,DISCA,-0.106292
90805,20200228,DISCA,-0.121668
90805,20200331,DISCA,-0.243580
90805,20200430,DISCA,0.153292
90805,20200529,DISCA,-0.029884
90805,20200630,DISCA,-0.029885
90805,20200731,DISCA,0.000000
90805,20200831,DISCA,0.045735
90805,20200930,DISCA,-0.013370
90805,20201030,DISCA,-0.070280
90805,20201130,DISCA,0.329545
90805,20201231,DISCA,0.118172
90808,20200131,EXPE,0.002867
90808,20200228,EXPE,-0.090641
90808,20200331,EXPE,-0.425979
90808,20200430,EXPE,0.261418
90808,20200529,EXPE,0.119752
90808,20200630,EXPE,0.034222
90808,20200731,EXPE,-0.014477
90808,20200831,EXPE,0.211579
90808,20200930,EXPE,-0.065818
90808,20201030,EXPE,0.026830
90808,20201130,EXPE,0.322252
90808,20201231,EXPE,0.063539
90825,20200131,ACCO,-0.076923
90825,20200228,ACCO,-0.072917
90825,20200331,ACCO,-0.361423
90825,20200430,ACCO,0.465346
90825,20200529,ACCO,-0.154730
90825,20200630,ACCO,0.147011
90825,20200731,ACCO,-0.081690
90825,20200831,ACCO,0.003834
90825,20200930,ACCO,-0.104938
90825,20201030,ACCO,-0.091379
90825,20201130,ACCO,0.465844
